iid;title;year;Animation;Adventure;Children;Comedy;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Mystery;Sci-Fi;War;Musical;Documentary;IMAX;Western;Film-Noir;(no genres listed);directors;actors;writers
36;Usual Suspects;1990;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;;;
37;Mighty Aphrodite;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
38;Postman;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
39;Indian in the Cupboard;1990;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
40;Mr. Holland's Opus;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
41;Bio-Dome;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
42;Friday;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
43;From Dusk Till Dawn;1990;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;;;
44;Misérables, Les;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
45;Screamers;1990;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
46;Juror;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
47;Things to Do in Denver When You're Dead;1990;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
48;White Squall;1990;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
49;Black Sheep;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
50;Broken Arrow;1990;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
51;City Hall;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
52;Bottle Rocket;1990;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
53;Happy Gilmore;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
54;Bridges of Madison County;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
55;Muppet Treasure Island;1990;False;True;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
56;Braveheart;1990;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;;;
57;Taxi Driver;1970;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
58;Rumble in the Bronx;1990;False;True;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
59;Boomerang;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
60;Flirting With Disaster;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
61;Down Periscope;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
62;Up Close and Personal;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
63;Birdcage;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
64;Brothers McMullen;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
65;Bad Boys;1990;False;False;False;True;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
66;Basketball Diaries;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
67;Apollo 13;1990;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;;;
68;Rob Roy;1990;False;False;False;False;False;True;True;True;False;False;False;False;False;True;False;False;False;False;False;False;;;
69;Batman Forever;1990;False;True;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
70;Beauty of the Day;1960;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
71;Canadian Bacon;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
72;Casper;1990;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
73;Clockers;1990;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;;;
74;Congo;1990;False;True;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;;;
75;Crimson Tide;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;;;
76;Crumb;1990;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;;;
77;Desperado;1990;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;;;
78;Devil in a Blue Dress;1990;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;True;False;;;
79;Die Hard: With a Vengeance;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
80;First Knight;1990;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
81;Hackers;1990;False;True;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
82;Johnny Mnemonic;1990;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
83;Judge Dredd;1990;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;;;
84;Kids;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
85;Living in Oblivion;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
86;Mallrats;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
87;Mighty Morphin Power Rangers: The Movie;1990;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
88;Net;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
89;Nine Months;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
90;Prophecy;1990;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;;;
91;Showgirls;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
92;Smoke;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
93;Species;1990;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;;;
94;Strange Days;1990;False;False;False;False;False;False;True;True;True;True;False;True;True;False;False;False;False;False;False;False;;;
95;To Wong Foo, Thanks for Everything! Julie Newmar;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
96;Under Siege 2: Dark Territory;1990;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
97;Walk in the Clouds;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
98;Waterworld;1990;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;;;
99;Before Sunrise;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
100;Billy Madison;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
101;Boys on the Side;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
102;Circle of Friends;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
103;Clerks;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
104;Don Juan DeMarco;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
105;Disclosure;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
106;Drop Zone;1990;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
107;Dolores Claiborne;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
108;Dumb & Dumber;1990;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
109;Eat Drink Man Woman;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
110;Exotica;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
111;Exit to Eden;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
112;Ed Wood;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
113;French Kiss;1990;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
114;Forget Paris;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
115;Goofy Movie;1990;True;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
116;Hoop Dreams;1990;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;;;
117;Heavenly Creatures;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
118;Houseguest;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
119;Immortal Beloved;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
120;I.Q.;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
121;Interview with the Vampire: The Vampire Chronicles;1990;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;
122;Junior;1990;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
123;Just Cause;1990;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;;
124;Star Wars: Episode IV - A New Hope;1970;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;;;
125;Little Women;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
126;Little Princess;1990;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
127;Like Water for Chocolate;1990;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
128;Legends of the Fall;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;True;False;False;;;
129;Major Payne;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
130;Madness of King George;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
131;Mary Shelley's Frankenstein;1990;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;;;
132;Milk Money;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
133;Miracle on 34th Street;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
134;Murder in the First;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
135;Nobody's Fool;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
136;Nell;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
137;Natural Born Killers;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
138;Once Were Warriors;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
139;Outbreak;1990;False;False;False;False;False;False;True;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
140;Léon: The Professional;1990;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
141;Pulp Fiction;1990;False;False;False;True;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
142;Quiz Show;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
143;Quick and the Dead;1990;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;True;False;False;;;
144;Three Colors: Red;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
145;Three Colors: Blue;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
146;Three Colors: White;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
147;Secret of Roan Inish;1990;False;False;True;False;True;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
148;Specialist;1990;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
149;Stargate;1990;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;;;
150;Santa Clause;1990;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
151;Shawshank Redemption;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
152;Shallow Grave;1990;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
153;Tank Girl;1990;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;;;
154;Star Trek: Generations;1990;False;True;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
155;Village of the Damned;1990;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;;;
156;Tommy Boy;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
157;What's Eating Gilbert Grape;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
158;Virtuosity;1990;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
159;While You Were Sleeping;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
160;Muriel's Wedding;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
161;Ace Ventura: Pet Detective;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
162;Adventures of Priscilla, Queen of the Desert;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
163;Bullets Over Broadway;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
164;Clear and Present Danger;1990;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
165;Client;1990;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;;;
166;Corrina, Corrina;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
167;Crow;1990;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
168;Flintstones;1990;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
169;Forrest Gump;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
170;Four Weddings and a Funeral;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
171;It Could Happen to You;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
172;Jungle Book;1990;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
173;Lion King;1990;True;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;True;False;False;False;;;
174;Wes Craven's New Nightmare;1990;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;;;
175;Mask;1990;False;False;False;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
176;Maverick;1990;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;;;
177;Naked Gun 33 1/3: The Final Insult;1990;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
178;Paper;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
179;Reality Bites;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
180;Red Rock West;1990;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
181;Richie Rich;1990;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
182;River Wild;1990;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
183;Speed;1990;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
184;Timecop;1990;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
185;True Lies;1990;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
186;When a Man Loves a Woman;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
187;Wolf;1990;False;False;False;False;False;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;;;
188;Wyatt Earp;1990;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;;;
189;Highlander III: The Sorcerer;1990;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
190;Addams Family Values;1990;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
191;Age of Innocence;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
192;Airheads;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
193;Another Stakeout;1990;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
194;Barcelona;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
195;Beverly Hillbillies;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
196;Beverly Hills Cop III;1990;False;False;False;True;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
197;Black Beauty;1990;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
198;Boxing Helena;1990;False;False;False;False;False;True;True;False;False;True;False;True;False;False;False;False;False;False;False;False;;;
199;Bronx Tale;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
200;Carlito's Way;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
201;City Slickers II: The Legend of Curly's Gold;1990;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;;;
202;Cliffhanger;1990;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
203;Coneheads;1990;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
204;Dave;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
205;Dazed and Confused;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
206;Demolition Man;1990;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;;;
207;Fatal Instinct;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
208;Firm;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
209;Free Willy;1990;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
210;Fugitive;1990;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
211;Hot Shots! Part Deux;1990;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;;;
212;Englishman Who Went Up a Hill But Came Down a Mountain;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
213;Hudsucker Proxy;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
214;In the Line of Fire;1990;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
215;In the Name of the Father;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
216;What's Love Got to Do with It?;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
217;Jurassic Park;1990;False;True;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;;;
218;Kalifornia;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
219;Last Action Hero;1990;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
220;Made in America;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
221;Malice;1990;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
222;Man Without a Face;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
223;Manhattan Murder Mystery;1990;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
224;Menace II Society;1990;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
225;Executive Decision;1990;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
226;Much Ado About Nothing;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
227;Mrs. Doubtfire;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
228;Next Karate Kid;1990;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
229;Perfect World;1990;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
230;Philadelphia;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
231;Piano;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
232;Ref;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
233;Remains of the Day;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
234;Renaissance Man;1990;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
235;RoboCop 3;1990;False;False;False;False;False;False;True;True;True;True;False;False;True;False;False;False;False;False;False;False;;;
236;Robin Hood: Men in Tights;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
237;Rudy;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
238;Schindler's List;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
239;Searching for Bobby Fischer;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
240;Secret Garden;1990;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
241;Serial Mom;1990;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;;;
242;Shadow;1990;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;;;
243;Shadowlands;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
244;Short Cuts;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
